Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,image_formats,portal_steps
Models > Develop with AI models,Develop with Llama-Index,ai-foundry/how-to/develop/llama-index.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/develop/llama-index.md,False,sgilley,how-to,This article explains how to use LlamaIndex with models deployed in Azure AI Foundry portal to build advance intelligent applications.,,,False,True,False,0,,False,0,,False
Models > Develop with AI models,Develop with Semantic Kernel,ai-foundry/how-to/develop/semantic-kernel.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/develop/semantic-kernel.md,False,lagayhar,how-to,Develop applications with Semantic Kernel and Azure AI Foundry.,,,False,True,False,0,,False,0,,True
Models > Deployment in AI hub,Connect your AI hub to the Azure AI Foundry resource,ai-foundry/foundry-models/how-to/configure-project-connection.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/configure-project-connection.md,False,ssalgado,how-to,Learn how to configure a connection to use Azure AI Foundry Models in your project.,azure-ai-models-deployment,"ai-foundry-portal, programming-language-cli, programming-language-bicep",False,True,False,0,,False,0,,False
Models > Deployment in AI hub > Managed compute endpoints,Deploy models via managed compute,ai-foundry/how-to/deploy-models-managed.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/deploy-models-managed.md,False,mopeakande,how-to,Learn how to deploy and inference a managed compute deployment with code.,,,False,True,False,0,,True,1,"content, .png",True
Models > Deployment in AI hub > Managed compute endpoints,Deploy models to managed compute pay-as-you-go,ai-foundry/how-to/deploy-models-managed-pay-go.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/deploy-models-managed-pay-go.md,False,mopeakande,how-to,Learn how to deploy protected models from partners and community on Azure AI Foundry managed compute and understand how pay-as-you-go surcharge billing works.,,,False,True,False,0,,True,2,"content, .png, content",True
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,Foundational AI models for healthcare,ai-foundry/how-to/healthcare-ai/healthcare-ai-models.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/healthcare-ai/healthcare-ai-models.md,False,mopeakande,concept-article,Learn about AI models that are applicable to the health and life science industry.,,,False,True,False,0,,True,1,"content, .gif",False
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageInsight model for embedding,ai-foundry/how-to/healthcare-ai/deploy-medimageinsight.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/healthcare-ai/deploy-medimageinsight.md,False,mopeakande,how-to,Learn how to use MedImageInsight Healthcare AI Model with Azure AI Foundry.,,,False,True,False,0,,True,1,"content, .gif",True
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,CXRReportGen model for text generation,ai-foundry/how-to/healthcare-ai/deploy-cxrreportgen.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/healthcare-ai/deploy-cxrreportgen.md,False,mopeakande,how-to,Learn how to use CXRReportGen Healthcare AI Model with Azure AI Foundry.,,,False,True,False,0,,True,1,"content, .gif",True
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageParse models for prompted segmentation,ai-foundry/how-to/healthcare-ai/deploy-medimageparse.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/healthcare-ai/deploy-medimageparse.md,False,mopeakande,how-to,Learn how to use MedImageParse and MedImageParse 3D Healthcare AI models with Azure AI Foundry.,,,False,True,True,14,"medimageparse-3d, medimageparse",True,1,"content, .gif",True
Models > Deployment in AI hub > Serverless API endpoints,Configure AI projects to work with Azure AI Foundry Models,ai-foundry/foundry-models/how-to/quickstart-ai-project.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/quickstart-ai-project.md,False,ssalgado,how-to,Learn how to upgrade your AI project to use models deployed in Azure AI Foundry Models in Azure AI Foundry Service,,,False,True,False,0,,True,6,"content, .gif, content, .png, content, content, content, content",True
