Parent Path,Name,Href,OtherTOC,URL
Models > Azure OpenAI in Foundry Models > Concepts,Model versions,./openai/concepts/model-versions.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/model-versions
Models > Azure OpenAI in Foundry Models > Concepts,Legacy models,./openai/concepts/legacy-models.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/legacy-models
Models > Azure OpenAI in Foundry Models > How-to > Assistants (preview),Getting started with Assistants,./openai/how-to/assistant.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/assistant
Models > Azure OpenAI in Foundry Models > How-to > Assistants (preview) > Tools,Code Interpreter,./openai/how-to/code-interpreter.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/code-interpreter
Models > Azure OpenAI in Foundry Models > How-to > Assistants (preview) > Tools > Function calling,Assistants function calling,./openai/how-to/assistant-functions.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/assistant-functions
Models > Azure OpenAI in Foundry Models > How-to > Assistants (preview) > Tools > Function calling,Function calling with Azure Logic Apps,./openai/how-to/assistants-logic-apps.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/assistants-logic-apps
Models > Azure OpenAI in Foundry Models > How-to > Assistants (preview) > Tools,File search,./openai/how-to/file-search.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/file-search
Models > Azure OpenAI in Foundry Models > How-to,Content filtering,./openai/how-to/content-filters.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/content-filters
Models > Azure OpenAI in Foundry Models > How-to,Use blocklists,./openai/how-to/use-blocklists.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/use-blocklists
Models > Azure OpenAI in Foundry Models > How-to,Risks & Safety Monitoring,./openai/how-to/risks-safety-monitor.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/risks-safety-monitor
Models > Azure OpenAI in Foundry Models > How-to > Use your data,Text data,./openai/concepts/use-your-data.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/use-your-data
Models > Azure OpenAI in Foundry Models > How-to > Use your data,Network and access configuration,./openai/how-to/on-your-data-configuration.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/on-your-data-configuration
Models > Azure OpenAI in Foundry Models > How-to > Use your data,Deploy and use web apps,./openai/how-to/use-web-app.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/use-web-app
Models > Azure OpenAI in Foundry Models > How-to > Use your data,Use the Azure Developer CLI,./openai/how-to/azure-developer-cli.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/azure-developer-cli
Models > Azure OpenAI in Foundry Models > How-to > Use your data,Troubleshooting and best practices,./openai/how-to/on-your-data-best-practices.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/on-your-data-best-practices
Models > Azure OpenAI in Foundry Models > How-to,Migrate to OpenAI Python v1.x,./openai/how-to/migration.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/migration
Models > Azure OpenAI in Foundry Models > How-to,Migrate to OpenAI JavaScript v4.x,./openai/how-to/migration-javascript.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/migration-javascript
Models > Azure OpenAI in Foundry Models > How-to,Migrate to Azure OpenAI .NET v2.0,./openai/how-to/dotnet-migration.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/dotnet-migration
Models > Azure OpenAI in Foundry Models > How-to > Models,Manage models,./openai/how-to/working-with-models.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/working-with-models
Models > Azure OpenAI in Foundry Models > How-to > Networking and security,Virtual networks with private endpoints,./openai/how-to/network.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/network
Models > Azure OpenAI in Foundry Models > How-to > Networking and security,Encryption of data at rest,./openai/encrypt-data-at-rest.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/encrypt-data-at-rest
Models > Azure OpenAI in Foundry Models > How-to > Networking and security,Managed identity,./openai/how-to/managed-identity.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/managed-identity
Models > Azure OpenAI in Foundry Models > How-to > Networking and security,Network security perimeter (preview),./openai/how-to/network-security-perimeter.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/network-security-perimeter
Models > Azure OpenAI in Foundry Models > How-to > Service management,Resource creation & model deployment,./openai/how-to/create-resource.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/create-resource
Models > Azure OpenAI in Foundry Models > How-to > Service management,Manage quota,./openai/how-to/quota.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/quota
Models > Azure OpenAI in Foundry Models > How-to > Service management,Dynamic quota,./openai/how-to/dynamic-quota.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/dynamic-quota
Models > Azure OpenAI in Foundry Models > How-to > Service management,Monitor Azure OpenAI,./openai/how-to/monitor-openai.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/monitor-openai
Models > Azure OpenAI in Foundry Models > How-to > Service management,Plan and manage costs,./openai/how-to/manage-costs.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/manage-costs
Models > Azure OpenAI in Foundry Models > How-to > Service management,Performance & latency,./openai/how-to/latency.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/latency
Models > Azure OpenAI in Foundry Models > How-to > Service management,Role-based access control (Azure RBAC),./openai/how-to/role-based-access-control.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/role-based-access-control
Models > Azure OpenAI in Foundry Models > How-to > Service management,Business continuity & disaster recovery (BCDR),./openai/how-to/business-continuity-disaster-recovery.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/business-continuity-disaster-recovery
Models > Azure OpenAI in Foundry Models > How-to,Work with code,./openai/how-to/work-with-code.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/work-with-code
Models > Azure OpenAI in Foundry Models > How-to,Deploy and use web apps,./openai/how-to/use-web-app.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/use-web-app
Models > Azure OpenAI in Foundry Models > How-to > Legacy,Completions (legacy),./openai/how-to/completions.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/completions
Models > Azure OpenAI in Foundry Models > How-to > Legacy,Chat Markup Language (ChatML),./openai/how-to/chat-markup-language.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/chat-markup-language
Models > Azure OpenAI in Foundry Models > Tutorials,Embeddings,./openai/tutorials/embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/tutorials/embeddings
Models > Azure OpenAI in Foundry Models > Tutorials,Fine-tuning GPT-4o mini,./openai/tutorials/fine-tune.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/tutorials/fine-tune
Models > Azure OpenAI in Foundry Models > Security & Governance,"Data, privacy, and security",./responsible-ai/openai/data-privacy.md,False,https://learn.microsoft.com/azure/ai-foundry//./responsible-ai/openai/data-privacy
Models > Azure OpenAI in Foundry Models > Security & Governance,Encryption of data at rest,./openai/encrypt-data-at-rest.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/encrypt-data-at-rest
